# FEAT_ID     Score                   Feature Expression
39            0.601184097293920194    (|(Inertia / Backbone_Angle) - (|Density - Mean_Distance|)|)
#-----------------------------------------------------------------------
30            0.490192452689901303    ((Backbone_Angle + Inertia) / (Density * Inertia))
31            0.495717749715514189    ((Inertia / Mean_Distance) - (Backbone_Angle * Sphericity))
32            0.497322603149359332    ((Inertia / Backbone_Angle) * (Density^6))
33            0.497942138299480697    ((Density * Inertia) / (Backbone_Angle + Inertia))
34            0.49913832728691554     (|(Backbone_Angle / Inertia) - Density|)
35            0.500442267134202368    ((Inertia / Sphericity) - (Mean_Distance * Backbone_Angle))
36            0.516328844336546244    ((Inertia / Backbone_Angle) + (Density^6))
37            0.516953685617461689    (|(Mean_Distance * Backbone_Angle) - (Plane_Angle + Inertia)|)
38            0.552094536108611478    (|(Backbone_Angle / Inertia) - (Density - Sphericity)|)
39            0.601184097293920194    (|(Inertia / Backbone_Angle) - (|Density - Mean_Distance|)|)
#-----------------------------------------------------------------------
40            0.698130407661597396    ((Sphericity / Inertia) / (Silhouette_Score^3))
41            0.701684951074592722    (|(Silhouette_Score^2) - Sphericity|)
42            0.702287829085752935    ((Backbone_Angle^3) * (Plane_Angle / Free_Volume))
43            0.702378124151029959    ((Backbone_Angle^6) * (Plane_Angle^2))
44            0.705330023802736017    (|sqrt(Sphericity) - Silhouette_Score|)
45            0.70546748642022894     (|(1.0 / Silhouette_Score) - (Silhouette_Score / Sphericity)|)
46            0.71096543703259274     (|(Sphericity / Silhouette_Score) - Silhouette_Score|)
47            0.716525123572823275    (|(Sphericity / Silhouette_Score) - sqrt(Sphericity)|)
48            0.745342108288379213    ((Backbone_Angle + Inertia) * (Silhouette_Score - Sphericity))
49            0.765953982961801838    ((Backbone_Angle^6) * (Plane_Angle^3))
#-----------------------------------------------------------------------
40            0.698130407661597396    ((Sphericity / Inertia) / (Silhouette_Score^3))
41            0.701684951074592722    (|(Silhouette_Score^2) - Sphericity|)
42            0.702287829085752935    ((Backbone_Angle^3) * (Plane_Angle / Free_Volume))
43            0.702378124151029959    ((Backbone_Angle^6) * (Plane_Angle^2))
44            0.705330023802736017    (|sqrt(Sphericity) - Silhouette_Score|)
45            0.70546748642022894     (|(1.0 / Silhouette_Score) - (Silhouette_Score / Sphericity)|)
46            0.71096543703259274     (|(Sphericity / Silhouette_Score) - Silhouette_Score|)
47            0.716525123572823275    (|(Sphericity / Silhouette_Score) - sqrt(Sphericity)|)
48            0.745342108288379213    ((Backbone_Angle + Inertia) * (Silhouette_Score - Sphericity))
49            0.765953982961801838    ((Backbone_Angle^6) * (Plane_Angle^3))
#-----------------------------------------------------------------------
