Descriptor,VIF
Total,1000000.0
Electrostatic,529775.8069714403
Backbone_Angle,388925.6087878958
Sphericity,310118.58687988063
vdW_surf_area,293862.86493307713
Density,290584.12392117106
Inertia,211680.2860251004
Silhouette_Score,159660.75439244678
Plane_Angle,145657.07869688576
Dispersion,133074.38828444312
Repulsion,131141.0498857596
Mean_Distance,117632.87845535646
Free_Volume,87923.66277130059
Dimer_Volume,38575.759037809294
