Descriptor,VIF
Plane_Angle,2.5461317846697407
Density,2.3444612179821487
Backbone_Angle,2.280616389596256
Inertia,1.8535596413954616
Repulsion,1.4835897582360789
Sphericity,1.4291033238922264
